,ratio_d,ratio_pitch,ratio_top_diameter
0,0.004,0.25,0.0
1,0.0384999999999999,0.875,0.4
2,0.0557499999999999,0.5625,0.2
3,0.0212499999999999,1.1875,0.6000000000000001
4,0.0298749999999999,0.71875,0.5
5,0.0643749999999999,1.34375,0.1
6,0.047125,0.40625,0.7000000000000001
7,0.0126249999999999,1.03125,0.3
8,0.0169374999999999,0.640625,0.75
9,0.0514375,1.265625,0.35
10,0.0686875,0.328125,0.55
11,0.0341874999999999,0.953125,0.15
12,0.0255625,0.484375,0.25
13,0.0600624999999999,1.109375,0.65
14,0.0428124999999999,0.796875,0.05
15,0.0083125,1.421875,0.45
16,0.0104687499999999,0.8359375,0.375
17,0.04496875,1.4609375,0.775
18,0.0622187499999999,0.5234375,0.175
19,0.0277187499999999,1.1484375,0.5750000000000001
20,0.0363437499999999,0.3671875,0.675
21,0.07084375,0.9921875,0.275
22,0.0535937499999999,0.6796875,0.475
23,0.01909375,1.3046875,0.075
24,0.01478125,0.4453125,0.425
25,0.04928125,1.0703125,0.025
26,0.06653125,0.7578125,0.625
27,0.03203125,1.3828125,0.225
28,0.0234062499999999,0.6015625,0.125
29,0.0579062499999999,1.2265625,0.525
30,0.0406562499999999,0.2890625,0.325
31,0.00615625,0.9140625,0.7250000000000001
32,0.0072343749999999,0.58203125,0.5625
33,0.0417343749999999,1.20703125,0.1625
34,0.0589843749999999,0.26953125,0.7625000000000001
35,0.024484375,0.89453125,0.3625
36,0.0331093749999999,0.42578125,0.0625
37,0.067609375,1.05078125,0.4625
38,0.050359375,0.73828125,0.2625
39,0.015859375,1.36328125,0.6625000000000001
40,0.020171875,0.34765625,0.2125
41,0.0546718749999999,0.97265625,0.6125
42,0.071921875,0.66015625,0.0125
43,0.0374218749999999,1.28515625,0.4125
44,0.0287968749999999,0.81640625,0.7125
45,0.0632968749999999,1.44140625,0.3125
46,0.046046875,0.50390625,0.5125000000000001
47,0.0115468749999999,1.12890625,0.1125
48,0.009390625,0.54296875,0.6375000000000001
49,0.0438906249999999,1.16796875,0.2375
50,0.0611406249999999,0.85546875,0.4375
51,0.0266406249999999,1.48046875,0.0375
52,0.0352656249999999,0.69921875,0.3375
53,0.069765625,1.32421875,0.7375
54,0.0525156249999999,0.38671875,0.1375
55,0.018015625,1.01171875,0.5375
56,0.0137031249999999,0.77734375,0.1875
57,0.048203125,1.40234375,0.5875
58,0.0654531249999999,0.46484375,0.3875
59,0.0309531249999999,1.08984375,0.7875000000000001
60,0.0223281249999999,0.30859375,0.4875
61,0.0568281249999999,0.93359375,0.0875
62,0.0395781249999999,0.62109375,0.6875
63,0.005078125,1.24609375,0.2875
64,0.0056171875,0.748046875,0.65625
65,0.0401171875,1.373046875,0.25625
66,0.0573671875,0.435546875,0.45625
67,0.0228671874999999,1.060546875,0.05625
68,0.0314921875,0.279296875,0.35625
69,0.0659921875,0.904296875,0.7562500000000001
70,0.0487421874999999,0.591796875,0.15625
71,0.0142421875,1.216796875,0.55625
72,0.0185546875,0.513671875,0.10625
73,0.0530546874999999,1.138671875,0.50625
74,0.0703046874999999,0.826171875,0.30625
75,0.0358046875,1.451171875,0.70625
