,coilable,sigma_crit,energy
220,1.0,40.26365412316005,
221,0.0,26.489748728215066,
222,1.0,60.98053475554588,
223,1.0,5.845952045697026,
224,0.0,33.44927607973746,
225,0.0,52.8699988555829,
226,1.0,28.0698390032314,
227,1.0,88.56654273177791,44.14015618268932
228,1.0,76.9787896351432,20.32743611349475
229,1.0,6.179031510599745,3.0145602324974385
230,1.0,37.002887649093296,
231,1.0,13.013781386738096,
232,1.0,12.973037721306572,17.00628862755157
233,0.0,47.46637022772686,
234,1.0,61.28611224628232,37.25012907534594
235,0.0,9.7614182936666,
236,1.0,50.88629164488551,26.503971602448644
237,1.0,54.77349197496196,
238,1.0,8.113718998824824,13.77358011840729
239,1.0,19.807787597444925,
240,1.0,14.688091388064835,23.32300116363043
241,1.0,45.42282075842693,36.49999921435765
242,0.0,4.342128819410326,2.547643125688613
243,1.0,3.789415533040791,34.115588967898184
244,1.0,36.76224537513836,
245,0.0,39.36602024412176,
246,1.0,12.158546384539488,23.22196651899644
247,0.0,93.623850203466,
248,1.0,42.40396979785986,
249,1.0,31.67692663346612,6.133593439507902
250,1.0,19.67027772661353,21.58209700521948
251,0.0,25.88750642355533,
252,0.0,1.6130671792249778,
253,0.0,120.181080627552,
254,1.0,10.47736088967118,12.970129725751129
255,0.0,24.42073446802042,13.61594107529986
256,0.0,20.87603557547773,
257,0.0,50.00520987992879,23.07927605461312
258,1.0,6.8571588921256925,
259,0.0,63.36021946465591,
260,0.0,5.51261793288536,
261,1.0,55.41647794505322,38.28274714046727
262,0.0,36.01485376237881,
263,0.0,57.760511946910654,
264,1.0,13.539629318713722,
265,1.0,66.09895772538124,
266,0.0,15.68758443068194,
267,1.0,176.12722622321505,30.3724038149551
268,1.0,65.87232108641838,47.58736362100082
269,0.0,42.19515851252329,
270,1.0,4.909229712635367,7.001017452916528
271,1.0,13.451775790126996,
272,1.0,4.60950912380471,
273,1.0,38.58425116365437,13.8201254617773
274,1.0,78.09542071587595,23.21331571088492
275,0.0,7.576284586992112,
276,1.0,4.872560413746994,23.85877677462333
277,1.0,32.87759152415137,
278,1.0,47.89417871475788,8.604207606014041
279,0.0,76.4860459313307,
280,0.0,52.27157626955737,
281,1.0,3.611161996777868,26.42041765827061
282,1.0,9.054388374475163,
283,1.0,90.58590064972788,85.40916071057813
284,1.0,41.76225706731334,31.390271537108443
285,0.0,1.03017811564522,0.6398056429890849
286,1.0,28.15132633409445,33.79936562859338
287,0.0,27.24477977824301,
288,0.0,6.46563773211963,2.7299060638503923
289,1.0,11.951772282474495,
290,1.0,91.2161542243718,16.693902001458266
291,1.0,4.848114214488079,54.51790765731926
292,1.0,54.59523843869905,55.27988883478072
293,1.0,73.48374708484518,13.146601906242951
294,1.0,50.36044371290989,
295,0.0,44.276905168165285,
296,1.0,84.24516771694678,59.76809135455506
297,1.0,19.792508722908103,14.818912983158144
298,1.0,23.3881371972402,
299,0.0,31.15362518057996,
300,1.0,11.720551981150592,12.9897505560348
301,1.0,13.37920113607709,28.24969665874448
302,0.0,2.8045647451881432,
303,1.0,83.66839020318174,
304,1.0,14.36596178324684,
